,GARCH,ARIMA,TOTAL,ACTUAL,SIGNAL
2019-01-02,-0.0006878003784124972,-0.005786849698950408,-0.006474650077362905,-0.008478523816745756,-1
2019-01-03,-0.0008115134107476191,-0.008172118323105815,-0.008983631733853435,-0.10606473140251226,-1
2019-01-04,-0.0008185583193520276,0.08201011216026391,0.08119155384091188,0.1467275827749795,1
2019-01-07,-0.0007126063918142132,-0.03352793991614823,-0.034240546307962444,-0.04403124613523204,-1
2019-01-08,-0.0005516323387739438,-0.0051400153452889185,-0.005691647684062862,0.02111162847836265,-1
2019-01-09,-0.0006702127443958507,-0.027420985993784144,-0.028091198738179994,-0.0020445263061480735,-1
2019-01-10,-0.0007658828855053011,-0.0035715485949785403,-0.004337431480483841,-0.013647736521183635,-1
2019-01-11,-0.0009575290256425229,-0.001647210001221572,-0.0026047390268640947,-0.01305800147386406,-1
2019-01-14,-0.0007845695404475585,0.008048751969536116,0.007264182429088557,-0.005284523839789673,1
2019-01-15,-0.000671316880763256,0.0242072197005033,0.023535902819740044,0.03541136030160445,1
2019-01-16,-0.0009364355177399091,-0.023479047915107694,-0.024415483432847603,-0.00811756644733644,-1
2019-01-17,-0.0010081060844417795,-0.017973516960407786,-0.018981623044849565,-0.006222450046433759,-1
2019-01-18,-0.0009878529106027757,0.005359492647341585,0.00437163973673881,0.00022040677540295477,1
2019-01-22,-0.0010622187643961802,-0.01076872064713763,-0.011830939411533811,-0.02884241090142286,-1
2019-01-23,-0.0011846456231571119,0.017411550907618575,0.016226905284461465,0.026738072679947544,1
2019-01-24,-0.0009424142754531483,0.007354638447321872,0.006412224171868724,-0.011994080654875993,1
2019-01-25,-0.0010962585677662608,0.010016764274465904,0.008920505706699644,0.04055767657005582,1
2019-01-28,-0.0010768114335349573,-0.02579016354178582,-0.026866974975320777,-0.041897440856757256,-1
2019-01-29,-0.0011936238599044614,0.0026030003057876797,0.0014093764458832183,-0.001121209142234788,1
2019-01-30,-0.0010403627612159778,0.005241295338502576,0.004200932577286598,0.07652000185077783,1
2019-01-31,-0.00048359703477732723,-0.05722860131669786,-0.05771219835147519,-0.0589258760052553,-1
2019-02-01,-0.0006986379510274536,-0.013689081905679051,-0.014387719856706505,-0.006694637510348738,-1
2019-02-04,-0.000792755774031659,0.0016450496523061587,0.0008522938782744997,0.027528371909146792,1
2019-02-05,-0.000654861005354722,-0.02330288432462003,-0.023957745329974755,-0.011044153963230406,-1
2019-02-06,-0.0004622356874408751,-0.025247440464535732,-0.025709676151976606,-0.016620414133577933,-1
2019-02-07,-0.0004667288203280096,0.00905989390057235,0.00859316508024434,-0.01946547351387316,1
2019-02-08,-0.0003543259238668562,0.01831672365068158,0.017962397726814724,0.02029538442758228,1
2019-02-11,-0.000578340371438147,-0.011350492093268133,-0.01192883246470628,-0.006941915193262575,-1
2019-02-12,-0.0005067129376377543,0.004378658055266763,0.003871945117629009,0.014347844849848027,1
2019-02-13,-0.0002456512180866869,-0.01026764801606955,-0.010513299234156236,-0.012743701728218988,-1
2019-02-14,-0.0001320961346525542,0.0008218094671546652,0.0006897133325021109,0.007800159942888444,1
2019-02-15,-0.00015848649604898688,0.003987041760012145,0.0038285552639631586,-0.0058640395978514295,1
2019-02-19,-0.0002353325698679337,-0.005378554548854865,-0.005613887118722799,0.005215308135095087,-1
2019-02-20,-1.620045484295807e-05,-0.00041133810241831414,-0.0004275385572612722,0.003426837072691117,-1
2019-02-21,0.00011556939696015789,-0.0013380388000534937,-0.0012224694030933357,-0.01206928938197509,-1
2019-02-22,-0.00016375643773748448,-0.0037874068639967818,-0.003951163301734267,0.01675811347663344,-1
2019-02-25,-7.436269753561915e-05,-0.006006888349257175,-0.006081251046792795,-0.003845517996212829,-1
2019-02-26,-6.134165404944109e-05,-0.009082283215328528,-0.009143624869377968,-0.0066843461546323,-1
2019-02-27,-0.00013147939443186233,-0.0032376810799067427,-0.0033691604743386052,0.002518971632530116,-1
2019-02-28,0.0003067056278382558,-0.0039597365173196725,-0.0036530308894814167,-0.012977287434463455,-1
2019-03-01,6.165128861373517e-06,0.015774033496424433,0.015780198625285805,0.020340648130822335,1
2019-03-04,0.0002522329796292876,-0.013127159270549615,-0.012874926290920328,-0.005439173174870095,-1
2019-03-05,0.00016821701348356254,-0.002750342101969005,-0.0025821250884854427,-0.006838383209891695,-1
2019-03-06,0.00021912682516115733,-0.0009877326788514367,-0.0007686058536902794,-0.0039490881535630944,-1
2019-03-07,0.00011462559212671952,0.007453428448454052,0.007568054040580772,-0.005871653049870366,1
2019-03-08,-6.46976814022053e-05,0.016981240773389895,0.01691654309198769,0.01401619627601335,1
2019-03-11,-1.075177492746669e-05,-0.008361325612699715,-0.008372077387627182,0.03168157965223841,-1
2019-03-12,5.5700681918100856e-05,-0.03027732355099838,-0.03022162286908028,-0.022882793517725528,-1
2019-03-13,-8.478199759405158e-05,-0.007775121940382451,-0.007859903937976503,-0.006760509445535555,-1
2019-03-14,0.00010498144440224038,-0.009385200807080895,-0.009280219362678654,0.006642946533781919,-1
2019-03-15,0.00019992640625999384,-0.010882460788301691,-0.010682534382041697,0.001869057340189285,-1
2019-03-18,9.08340134534604e-05,-0.012318654761346469,-0.012227820747893008,-0.0027674809840168724,-1
2019-03-19,0.00032557478549891583,-0.009546185175509213,-0.009220610390010297,-0.01811307977593265,-1
2019-03-20,-1.0155099153072632e-05,0.00860937651373754,0.008599221414584468,0.016656790437380206,1
2019-03-21,0.00026759429123093966,-0.008084771670421681,-0.007817177379190741,0.027467653116162304,-1
2019-03-22,0.00018377643839372065,-0.0355279480331525,-0.03534417159475878,-0.057093872646394234,-1
2019-03-25,3.128810452819534e-05,0.019869703986716333,0.01990099209124453,0.008760852802170153,1
2019-03-26,-7.126455885063856e-05,0.017814566684492387,0.01774330212564175,0.0017794216713865468,1
2019-03-27,0.00024974796380639497,0.00845891675997142,0.008708664723777815,0.01933926117742496,1
2019-03-28,0.00036894723481671984,-0.011088940915647912,-0.010719993680831192,-0.007628287171336937,-1
2019-03-29,0.0003605133485338265,0.004203920627377553,0.00456443397591138,0.00517097558527898,1
2019-04-01,0.0003193065656955542,-0.007121325919979921,-0.006802019354284367,0.000271829464215694,-1
2019-04-02,0.00029506711812027554,-0.009861355985757303,-0.009566288867637027,0.0076636747282883486,-1
2019-04-03,0.0006280396209284743,-0.013813231636203585,-0.013185192015275111,-0.007600450834780274,-1
2019-04-04,0.0005467445772205425,-0.006173780980917552,-0.00562703640369701,-0.005092828099414985,-1
2019-04-05,0.0005249954695800502,-0.0010624417580730244,-0.0005374462884929742,0.004933191515935994,-1
2019-04-08,0.0005332519298573888,-0.00598765191890086,-0.005454399989043471,0.008941573900993873,-1
2019-04-09,0.000612748266977419,-0.014912864095632245,-0.014300115828654826,-0.018616493647968767,-1
